city,iso,country,country2,gdp_capita,top_city,continent,new_city,population2,cbsa_code,gdp_capita_usa,population,final_sample
Canberra,AUS,Australia,Australia,52613.85,1,Asia,Canberra,381488,NA,NA,381488,0
Melbourne,AUS,Australia,Australia,52613.85,0,Asia,Melbourne,4529500,NA,NA,4529500,1
Sydney,AUS,Australia,Australia,52613.85,NA,English,Sydney,4840600,NA,NA,4840600,1
Graz,AUT,Austria,Austria,58662.928,NA,English,Graz,289440,NA,NA,289440,0
Vienna,AUT,Austria,Austria,58662.928,1,English,Vienna,1973403,NA,NA,1973403,1
Wien,AUT,Austria,Austria,58662.928,NA,E_Europe,Vienna,1973403,NA,NA,1973403,1
Dhaka,BGD,Bangladesh,Bangladesh,6062.01,1,E_Europe,Dhaka,18627000,NA,NA,18627000,1
Antwerpen,BEL,Belgium,Belgium,54533.592,NA,E_Europe,Antwerp,529247,NA,NA,529247,1
Bruxelles,BEL,Belgium,Belgium,54533.592,NA,W_Europe,Brussels,1743000,NA,NA,1743000,1
Brussels,BEL,Belgium,Belgium,54533.592,NA,W_Europe,Brussels,1743000,NA,NA,1743000,1
Brampton,CAN,Canada,Canada,51667.525,1,W_Europe,Brampton,593638,NA,NA,593638,1
Burnaby,CAN,Canada,Canada,51667.525,1,Asia,Burnaby,232755,NA,NA,232755,0
Calgary,CAN,Canada,Canada,51667.525,NA,English,Calgary,1239220,NA,NA,1239220,1
Edmonton,CAN,Canada,Canada,51667.525,NA,English,Edmonton,1062643,NA,NA,1062643,1
Laval,CAN,Canada,Canada,51667.525,NA,English,Laval,422993,NA,NA,422993,0
Mississauga,CAN,Canada,Canada,51667.525,NA,English,Mississauga,721599,NA,NA,721599,1
Montreal,CAN,Canada,Canada,51667.525,NA,English,Montreal,3519595,NA,NA,3519595,1
Ottawa,CAN,Canada,Canada,51667.525,NA,English,Ottawa,989567,NA,NA,989567,1
Quebec,CAN,Canada,Canada,51667.525,NA,English,Quebec City,705103,NA,NA,705103,1
Saskatoon,CAN,Canada,Canada,51667.525,NA,English,Saskatoon,246376,NA,NA,246376,0
Surrey,CAN,Canada,Canada,51667.525,NA,English,Surrey,517887,NA,NA,517887,1
Toronto,CAN,Canada,Canada,51667.525,NA,English,Toronto,5429524,NA,NA,5429524,1
Vancouver,CAN,Canada,Canada,51667.525,NA,English,Vancouver,2264823,NA,NA,2264823,1
Victoria,CAN,Canada,Canada,51667.525,1,English,Victoria,335696,NA,NA,335696,0
Bogota,COL,Colombia,Colombia,15635.986,NA,English,Bogota,7968095,NA,NA,7968095,1
San Jose,CRI,Costa Rica,Costa Rica,21131.251,NA,English,San Jose,1543000,NA,NA,1543000,1
Brno,CZE,Czechia,Czech Republic,42980.561,NA,W_Europe,Brno,382405,NA,NA,382405,0
Praha,CZE,Czechia,Czech Republic,42980.561,NA,W_Europe,Prague,1335084,NA,NA,1335084,1
Prague,CZE,Czechia,Czech Republic,42980.561,1,W_Europe,Prague,1335084,NA,NA,1335084,1
Copenhagen,DNK,Denmark,Denmark,59480.223,1,ROW,Copenhagen,1366301,NA,NA,1366301,1
Santo Domingo,DOM,Dominican Republic,Dominican Republic,19900.089,1,ROW,Santo Domingo,2581827,NA,NA,2581827,1
Tallinn,EST,Estonia,Estonia,37777.147,NA,E_Europe,Tallinn,438341,NA,NA,438341,0
Espoo,FIN,Finland,Finland,50686.883,1,E_Europe,Espoo,297132,NA,NA,297132,0
Helsinki,FIN,Finland,Finland,50686.883,1,W_Europe,Helsinki,1268296,NA,NA,1268296,1
Vantaa,FIN,Finland,Finland,50686.883,NA,W_Europe,Vantaa,214605,NA,NA,214605,0
Paris,FRA,France,France,49792.704,NA,W_Europe,Paris,11060000,NA,NA,11060000,1
Berlin,DEU,Germany,Germany,56479.067,NA,W_Europe,Berlin,4473101,NA,NA,4473101,1
Frankfurt,DEU,Germany,Germany,56479.067,NA,W_Europe,Frankfurt,764104,NA,NA,764104,1
Hamburg,DEU,Germany,Germany,56479.067,1,W_Europe,Hamburg,2484800,NA,NA,2484800,1
Munchen,DEU,Germany,Germany,56479.067,NA,W_Europe,Munich,2606021,NA,NA,2606021,1
Athina,GRC,Greece,Greece,30918.255,1,W_Europe,Athens,3041131,NA,NA,3041131,1
