iso,imf_classification,old_city_name,new_city_name,continent
AUS,Advanced Economies,Melbourne,,Australia
AUS,Advanced Economies,Brisbane,,Australia
AUS,Advanced Economies,Sydney,,Australia
AUT,Advanced Economies,Graz,,Europe
AUT,Advanced Economies,Wien,Vienna,Europe
AUT,Advanced Economies,Salzburg,,Europe
BEL,Advanced Economies,Gent,,Europe
BEL,Advanced Economies,Antwerpen,Antwerp,Europe
BEL,Advanced Economies,Bruxelles,Brussels,Europe
BGD,Emerging and Developing Economies,Dhaka,,Europe
BHR,Emerging and Developing Economies,Manama,,Europe
BIH,Emerging and Developing Economies,Sarajevo,,Europe
BLR,Emerging and Developing Economies,Gomel,Homyel,Europe
BLR,Emerging and Developing Economies,Brest,,Europe
BLR,Emerging and Developing Economies,Minsk,,Europe
BRA,Emerging and Developing Economies,Brasaï¿½Lia,Brasilia,Latin America
CAN,Advanced Economies,Toronto,,US/Canada
CAN,Advanced Economies,Calgary,,US/Canada
CAN,Advanced Economies,Edmonton,,US/Canada
CHE,Advanced Economies,Genave,Geneva,Europe
CHE,Advanced Economies,Zaerich,Zurich,Europe
CHE,Advanced Economies,Basel,,Europe
CHL,Emerging and Developing Economies,Concepcion,,Latin America
CHL,Emerging and Developing Economies,Santiago,,Latin America
CHL,Emerging and Developing Economies,Viaï¿½A Del Mar,Vina del Mar,Latin America
CZE,Advanced Economies,Brno,,Europe
CZE,Advanced Economies,Ostrava,,Europe
CZE,Advanced Economies,Praha,Prague,Europe
DEU,Advanced Economies,Maenchen,Munich,Europe
DEU,Advanced Economies,Kaï¿½Ln,Cologne,Europe
DEU,Advanced Economies,Berlin,,Europe
DNK,Advanced Economies,Kaï¿½Benhavn,Copenhagen,Europe
DNK,Advanced Economies,Odense,,Europe
DNK,Advanced Economies,Aarhus,,Europe
EGY,Emerging and Developing Economies,Alexandria,,Asia
EGY,Emerging and Developing Economies,Cairo,,Asia
EGY,Emerging and Developing Economies,Giza,,Asia
ESP,Advanced Economies,Palma,,Europe
ESP,Advanced Economies,Barcelona,,Europe
ESP,Advanced Economies,Madrid,,Europe
FIN,Advanced Economies,Tampere,,Europe
FIN,Advanced Economies,Turku,,Europe
