MetroShort,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"Abilene, TX",-3.739764825161724,-5.589268604279782,-5.1205629208406345,-5.1205629208406345,-3.759050484345555,-1.340077803859336,-0.35132545512615776,-1.8373723013852614,-1.8373723013852614,-1.2678943366284259,175821,181482,4120.11506023166,4100.407825868726,6262,42.87890557880056,44.25949995877559,10180,"Abilene, TX",Abilene,TX,0.27246296,0.30905688,0.32867125,0.3575404,TX,139796.16927634718,-99.733101,32.448601
"Akron, OH",-0.8144011085949312,-0.5367731782030746,-1.1110742169773522,-1.1110742169773522,-0.2571152181660812,-0.3835145204242235,0,-0.5099470274027489,-0.5099470274027489,-0.17100430997270571,900018,903486,1281.2687613899614,1255.736540926641,35583,716.725181331311,719.4869071288583,10420,"Akron, OH",Akron,OH,0.31823412,0.39422074,0.36687246,0.44169754,OH,149661.87569786998,-81.518898,41.0811
"Albany, GA",-0.7626772639429489,-1.4792338327327896,-0.9839679904189009,-0.9839679904189009,-0.8356242684885271,-0.575954707531506,-0.4361843352930021,-0.734369471134217,-0.734369471134217,-0.5536351016630828,189181,183695,3117.818735907336,3079.036891891892,5273,61.44161523305396,59.65988926073891,10500,"Albany, GA",Albany,GA,0.27158603,0.31853243999999997,0.31485352,0.36687845,GA,98249.67819335844,-84.151604,31.5786
"Albany, NY",-2.031738947950038,-2.853958848631459,-2.4342933647853875,-2.4342933647853875,-1.2827337785499116,-0.9168911344522188,-0.9431654480715392,-1.1205750625587734,-1.1205750625587734,-0.5868570791029789,932389,941115,3459.153245559846,3395.5572884169883,36791,274.5908611763345,277.1606897078001,10580,"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,NY,0.36932078,0.44743568,0.424283,0.49190852,NY,233281.7558281499,-73.750999,42.6525
"Albuquerque, NM",-1.1662890665380243,-2.507912584777694,-1.6491506150718445,-1.6491506150718445,-1.2100074084283794,-0.3176579028979015,-0.6812358703843255,-0.44886676889149235,-0.44886676889149235,-0.3017211674304814,902666,928672,11753.961532818534,11738.836901930505,33175,76.89569312029138,79.11107444105266,10740,"Albuquerque, NM",Albuquerque,NM,0.3213281,0.41661993,0.35720241,0.44349107,NM,206967.55061959237,-106.65,35.085602
"Alexandria, LA",-1.9102123312499313,-1.9519778891000175,-2.3990245724265957,-2.3990245724265957,-1.8355174269802388,-0.6678603205290157,0.03454828122300915,-0.8190076562276877,-0.8190076562276877,-0.6393005041906038,183492,182074,3301.73151003861,3210.5124343629345,5789,57.1534930175128,56.71181897668904,10780,"Alexandria, LA",Alexandria,LA,0.25201264,0.28886458,0.30110911,0.33358815000000003,LA,141860.6430449491,-92.444702,31.311001
"Allentown, PA",-0.5627362966386266,-2.0207080828323316,-0.6974763887728062,-0.6974763887728062,-0.45811434667820394,-0.4562460975717679,-0.5177020708082832,-0.5467283516634791,-0.5467283516634791,-0.3481826360994892,1003571,1016995,2144.4967822393824,2111.092347876448,35928,475.37996194694847,481.73875530504256,10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,PA-NJ,0.26702428,0.33526921,0.32324323,0.38200048,PA,215466.6217024752,-75.4729,40.602001
"Altoona, PA",-1.3241827704533142,0.2521823472356935,-1.4620913852266568,-1.4620913852266568,-0.9535849738125339,-0.8257178977785804,-0.09699321047526674,-1.1036301246162183,-1.1036301246162183,-0.6321112515802781,143137,138425,727.0263648648648,725.4472216216217,5155,197.3086335351041,190.81332986646908,11020,"Altoona, PA",Altoona,PA,0.22866811,0.27055547,0.28467274,0.32292062,PA,140468.17640583983,-78.402199,40.516602
"Amarillo, TX",-2.194684265410877,-1.2843137254901962,-3.2059119399520233,-3.2059119399520233,-2.1500978322149877,-0.9713209744162309,-0.411764705882353,-1.4275396763983004,-1.4275396763983004,-0.9632143501987966,259360,271383,4416.158123938224,4382.724571428572,10200,59.17780042368947,61.921071145828655,11100,"Amarillo, TX",Amarillo,TX,0.27327612,0.32389587,0.32019514,0.36323431,TX,143841.12023274563,-101.837,35.207401
"Ames, IA",-6.610617606967405,-5.324137931034483,-6.924223988875573,-6.924223988875573,-5.373756964202399,-3.937461691169071,-3.310344827586207,-4.2854659726097575,-4.2854659726097575,-3.338242962610581,99628,109309,901.3906247104248,895.118032046332,3625,111.30152274135304,122.11685619840364,11180,"Ames, IA",Ames,IA,0.30733138,0.40163776,0.36483634,0.45461854,IA,204708.11784173956,-93.616971,42.026025
