MetroShort,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"New York, NY",18929284,19335518,7054.35877,6593.158935,1023709,2871.049248,2932.663719,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York-Newark-Jersey City,NY-NJ-PA,0.35236636,0.4659619,0.41956478,0.53913975,NY,476171.9816,-73.980797,40.756699
"Los Angeles, CA",12940245,13369661,4814.182312,4506.860231,707772,2871.232818,2966.513341,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles-Long Beach-Anaheim,CA,0.33373454,0.44738179,0.39088523,0.50535589,CA,689364.3111,-118.253,34.049999
"Chicago, IL",9658114,9701082,8746.601874,8595.591526,452192,1123.61249,1128.611332,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago-Naperville-Elgin,IL-IN-WI,0.33973619,0.44786832,0.39180052,0.49589816,IL,239507.3361,-87.626099,41.878201
"Dallas, TX",6401545,7359183,9684.832208,9338.944445,292811,685.4677247,788.0101486,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth-Arlington,TX,0.34575835,0.46431294,0.39693448,0.51277018,TX,261928.9496,-96.798698,32.780399
"Houston, TX",5971020,6939730,9343.713745,8964.507641,256058,666.0733907,774.1339824,26420,"Houston-The Woodlands-Sugar Land, TX",Houston-The Woodlands-Sugar Land,TX,0.31743258,0.42440853,0.37326643,0.48016521,TX,219845.3228,-95.363197,29.757401
"Miami, FL",5551913,6074919,2126.531698,1995.619616,367977,2782.049723,3044.126722,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Fort Lauderdale-West Palm Beach,FL,0.31448448,0.40740648,0.3670482,0.46962363,FL,337786.5231,-80.191803,25.7749
"Philadelphia, PA",5941166,6051831,4427.958763,4284.173959,254333,1386.770485,1412.601603,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,0.34188336,0.43942869,0.40106103,0.49999312,PA,247121.6486,-75.160103,39.950001
"Atlanta, GA",5430554,6009615,10367.38131,10192.64737,268859,532.7913153,589.602954,12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta-Sandy Springs-Roswell,GA,0.35666603,0.49576303,0.40385821,0.53915775,GA,240660.8215,-84.389099,33.756199
"Boston, MA",4592369,4872213,3749.087266,3521.359539,228573,1304.14658,1383.617022,71650,"Boston-Cambridge-Nashua, MA-NH",Boston-Cambridge-Nashua,MA-NH,0.38872615,0.50142014,0.44353771,0.55328661,MA,519544.4508,-71.058701,42.3549
"San Francisco, CA",4453606,4836168,2721.361588,2598.56192,245648,1713.873341,1861.094001,41860,"San Francisco-Oakland-Hayward, CA",San Francisco-Oakland-Hayward,CA,0.39781314,0.53622544,0.44755739,0.5840202,CA,918690.0208,-122.408,37.785702
