MetroShort,post_pct_change,pre_pct_change,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"Abilene, TX",26.27768726630042,2.9546458171718806,175821,181482,4120.11506023166,4100.407825868726,6262,42.87890557880056,44.25949995877559,10180,"Abilene, TX",Abilene,TX,0.27246296,0.30905688,0.32867125,0.3575404,TX,139796.16927634718,-99.733101,32.448601
"Akron, OH",25.79245969098871,4.76538548703191,900018,903486,1281.2687613899614,1255.736540926641,35583,716.725181331311,719.4869071288583,10420,"Akron, OH",Akron,OH,0.31823412,0.39422074,0.36687246,0.44169754,OH,149661.87569786998,-81.518898,41.0811
"Albany, GA",33.93187106585035,5.550987664100996,189181,183695,3117.818735907336,3079.036891891892,5273,61.44161523305396,59.65988926073891,10500,"Albany, GA",Albany,GA,0.27158603,0.31853243999999997,0.31485352,0.36687845,GA,98249.67819335844,-84.151604,31.5786
"Albany, NY",24.41884974659507,4.174249911760051,932389,941115,3459.153245559846,3395.5572884169883,36791,274.5908611763345,277.1606897078001,10580,"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,NY,0.36932078,0.44743568,0.424283,0.49190852,NY,233281.7558281499,-73.750999,42.6525
"Albuquerque, NM",35.871026040271936,7.300193595495531,902666,928672,11753.961532818534,11738.836901930505,33175,76.89569312029138,79.11107444105266,10740,"Albuquerque, NM",Albuquerque,NM,0.3213281,0.41661993,0.35720241,0.44349107,NM,206967.55061959237,-106.65,35.085602
"Alexandria, LA",9.449865813307856,2.90058251832052,183492,182074,3301.73151003861,3210.5124343629345,5789,57.1534930175128,56.71181897668904,10780,"Alexandria, LA",Alexandria,LA,0.25201264,0.28886458,0.30110911,0.33358815000000003,LA,141860.6430449491,-92.444702,31.311001
"Allentown, PA",30.839544935355644,4.492674054061541,1003571,1016995,2144.4967822393824,2111.092347876448,35928,475.37996194694847,481.73875530504256,10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,PA-NJ,0.26702428,0.33526921,0.32324323,0.38200048,PA,215466.6217024752,-75.4729,40.602001
"Altoona, PA",7.211659858977922,6.290376023508264,143137,138425,727.0263648648648,725.4472216216217,5155,197.3086335351041,190.81332986646908,11020,"Altoona, PA",Altoona,PA,0.22866811,0.27055547,0.28467274,0.32292062,PA,140468.17640583983,-78.402199,40.516602
"Amarillo, TX",29.966208978382962,3.2964690885255643,259360,271383,4416.158123938224,4382.724571428572,10200,59.17780042368947,61.921071145828655,11100,"Amarillo, TX",Amarillo,TX,0.27327612,0.32389587,0.32019514,0.36323431,TX,143841.12023274563,-101.837,35.207401
"Ames, IA",21.160689596916356,2.2872052021332645,99628,109309,901.3906247104248,895.118032046332,3625,111.30152274135304,122.11685619840364,11180,"Ames, IA",Ames,IA,0.30733138,0.40163776,0.36483634,0.45461854,IA,204708.11784173956,-93.616971,42.026025
