distance_column,data.date,donut_deseasonalised
10 mile,2018-01-01,4.83876563316165
10 mile,2018-02-01,2.6442229840425537
10 mile,2018-03-01,5.91780374535671
10 mile,2018-04-01,6.717599186203659
10 mile,2018-05-01,5.232733948599025
10 mile,2018-06-01,5.116495586761456
10 mile,2018-07-01,5.318889163505174
10 mile,2018-08-01,3.8030026144091615
10 mile,2018-09-01,3.2924850864531496
10 mile,2018-10-01,3.806203009759639
10 mile,2018-11-01,0.8093412542610454
10 mile,2018-12-01,3.203191884183952
10 mile,2019-01-01,0.42754941593299023
10 mile,2019-02-01,-0.7324563883321584
10 mile,2019-03-01,4.509274774776461
10 mile,2019-04-01,2.7770420528043354
10 mile,2019-05-01,0.5384576757776656
10 mile,2019-06-01,1.29635713847648
10 mile,2019-07-01,0.099185740263717
10 mile,2019-08-01,-0.05786052004246256
10 mile,2019-09-01,-1.045948460740292
10 mile,2019-10-01,-3.0222082438590148
10 mile,2019-11-01,-2.575433377858917
10 mile,2019-12-01,-2.2139601197519516
10 mile,2020-01-01,-1.65436974048513
10 mile,2020-02-01,-4.500613489625175
10 mile,2020-03-01,-15.203890252301711
10 mile,2020-04-01,-17.596662418608922
10 mile,2020-05-01,-22.464137593716583
10 mile,2020-06-01,-22.229268627828226
10 mile,2020-07-01,-23.43564394765582
10 mile,2020-08-01,-23.04825682092431
10 mile,2020-09-01,-24.687633278655948
10 mile,2020-10-01,-28.779369241700383
10 mile,2020-11-01,-28.08967460808205
10 mile,2020-12-01,-28.579362685399815
10 mile,2021-01-01,-26.63204967464623
10 mile,2021-02-01,-24.91707869286351
10 mile,2021-03-01,-28.429775243389095
10 mile,2021-04-01,-25.96821611440216
10 mile,2021-05-01,-27.04507698248732
10 mile,2021-06-01,-24.88113715075147
10 mile,2021-07-01,-22.720134676827442
10 mile,2021-08-01,-21.153193320466812
10 mile,2021-09-01,-18.744649077743667
10 mile,2021-10-01,-17.00082764725163
10 mile,2021-11-01,-13.991698520585661
10 mile,2021-12-01,-16.444068933899572
10 mile,2022-01-01,-17.00504287204337
10 mile,2022-02-01,-14.801727051364482
10 mile,2022-03-01,-10.926871699443382
10 mile,2022-04-01,-11.474382232837023
10 mile,2022-05-01,-6.441943142801167
10 mile,2022-06-01,-8.344496715943576
10 mile,2022-07-01,-9.51782299100651
10 mile,2022-08-01,-9.002439620958679
10 mile,2022-09-01,-8.63530898533383
10 mile,2022-10-01,-7.418291524051151
10 mile,2022-11-01,-9.823123366950918
10 mile,2022-12-01,-11.013658501953282
10 mile,2023-01-01,-11.496566954682079
10 mile,2023-02-01,-10.743986229874817
10 mile,2023-03-01,-10.448079980936647
10 mile,2023-04-01,-10.377221102532443
10 mile,2023-05-01,-7.082168008132751
10 mile,2023-06-01,-9.349827481968696
10 mile,2023-07-01,-9.266086381264802
10 mile,2023-08-01,-11.146553327888839
10 mile,2023-09-01,-11.867928243966709
30 mile,2018-01-01,3.6464322576821493
30 mile,2018-02-01,1.2363981723803241
30 mile,2018-03-01,5.031502664852856
30 mile,2018-04-01,6.34830065322569
30 mile,2018-05-01,4.356499552940436
30 mile,2018-06-01,4.232791507486931
30 mile,2018-07-01,4.712643346332508
30 mile,2018-08-01,3.0437082927990575
30 mile,2018-09-01,2.09181319622527
30 mile,2018-10-01,2.9802652046399967
30 mile,2018-11-01,0.03596993194694109
30 mile,2018-12-01,2.1648130859623618
30 mile,2019-01-01,-0.12066470026882303
30 mile,2019-02-01,-1.1235785463337922
30 mile,2019-03-01,4.731815476656113
30 mile,2019-04-01,2.6273366889561003
30 mile,2019-05-01,0.7007434371400381
30 mile,2019-06-01,0.8541943087484836
30 mile,2019-07-01,0.48510166717588366
30 mile,2019-08-01,-0.08151966043160686
30 mile,2019-09-01,-0.6272617387059274
30 mile,2019-10-01,-2.7088947731057136
30 mile,2019-11-01,-2.6135693304271013
30 mile,2019-12-01,-2.123703094042825
30 mile,2020-01-01,-2.363185251846094
30 mile,2020-02-01,-4.622182410292394
30 mile,2020-03-01,-16.715969010220512
30 mile,2020-04-01,-19.840802729929973
30 mile,2020-05-01,-25.32882412997524
30 mile,2020-06-01,-25.357313080270185
30 mile,2020-07-01,-26.553554237119286
30 mile,2020-08-01,-25.975246994698132
30 mile,2020-09-01,-27.6179943582756
30 mile,2020-10-01,-31.726415769815
30 mile,2020-11-01,-30.86684008663832
30 mile,2020-12-01,-31.306034021038656
30 mile,2021-01-01,-29.355088935491697
30 mile,2021-02-01,-27.23535157719033
30 mile,2021-03-01,-31.006266370907948
30 mile,2021-04-01,-28.1265843186579
30 mile,2021-05-01,-29.251525756825966
30 mile,2021-06-01,-25.958648731774574
30 mile,2021-07-01,-23.754692125229415
30 mile,2021-08-01,-21.81643568469531
30 mile,2021-09-01,-19.82315823808388
30 mile,2021-10-01,-18.452418419383662
30 mile,2021-11-01,-14.986003317591559
30 mile,2021-12-01,-17.572225086921986
30 mile,2022-01-01,-18.53212543777294
30 mile,2022-02-01,-16.793017113025897
30 mile,2022-03-01,-12.72784429221435
30 mile,2022-04-01,-12.833489961636266
30 mile,2022-05-01,-7.597367288528927
30 mile,2022-06-01,-9.347151050490185
30 mile,2022-07-01,-10.84088061317841
30 mile,2022-08-01,-10.1929640311342
30 mile,2022-09-01,-9.862033993721568
30 mile,2022-10-01,-8.670089553987616
30 mile,2022-11-01,-11.429069279609342
30 mile,2022-12-01,-12.460943955414928
30 mile,2023-01-01,-12.177363703846565
30 mile,2023-02-01,-11.93761854659182
30 mile,2023-03-01,-11.361911712337395
30 mile,2023-04-01,-11.582300513911466
30 mile,2023-05-01,-7.645924249243091
30 mile,2023-06-01,-10.328364835768555
30 mile,2023-07-01,-11.091195502141693
30 mile,2023-08-01,-13.128877386359385
30 mile,2023-09-01,-13.42145069589618
5 mile,2018-01-01,2.618587987528801
5 mile,2018-02-01,1.6931828053874551
5 mile,2018-03-01,3.1753213249750525
5 mile,2018-04-01,4.40058207101516
5 mile,2018-05-01,2.7568845529253916
5 mile,2018-06-01,1.1435204091683353
5 mile,2018-07-01,1.8258524014675805
5 mile,2018-08-01,0.5166052612692218
5 mile,2018-09-01,0.7916164775476244
5 mile,2018-10-01,0.6826384460537183
5 mile,2018-11-01,-0.6410868461485892
5 mile,2018-12-01,1.7719937294675496
5 mile,2019-01-01,0.20014319344890008
5 mile,2019-02-01,0.2835965766357228
5 mile,2019-03-01,3.0746556763625525
5 mile,2019-04-01,3.2000237845695203
5 mile,2019-05-01,-2.364161179324981
5 mile,2019-06-01,-0.040821720264948125
5 mile,2019-07-01,-1.120158888249612
5 mile,2019-08-01,-0.5103346087107558
5 mile,2019-09-01,-0.7233809665740808
5 mile,2019-10-01,-1.6681095702924835
5 mile,2019-11-01,-0.5578927805714495
5 mile,2019-12-01,0.22643889154688246
5 mile,2020-01-01,1.4180510271009474
5 mile,2020-02-01,-1.4342033852116236
5 mile,2020-03-01,-9.258072444957723
5 mile,2020-04-01,-12.799992952838384
5 mile,2020-05-01,-15.25699139371313
5 mile,2020-06-01,-15.340692957905409
5 mile,2020-07-01,-16.366478394046705
5 mile,2020-08-01,-15.706813967034917
5 mile,2020-09-01,-16.661351526684793
5 mile,2020-10-01,-19.726329160301482
5 mile,2020-11-01,-18.81195930022038
5 mile,2020-12-01,-18.181195026252205
5 mile,2021-01-01,-16.853981636959585
5 mile,2021-02-01,-15.476740314708511
5 mile,2021-03-01,-16.983209103510994
5 mile,2021-04-01,-14.624300662700024
5 mile,2021-05-01,-15.639604016988892
5 mile,2021-06-01,-13.05260488186614
