city,data.date,data.donut_effect_cumulative,donut_deseasonalised
Berlin,2018-01-01,0.293968173,0.5004139538900483
Berlin,2018-02-01,3.088277219,-0.01836430890512375
Berlin,2018-03-01,0.603466735,5.042471017570927
Berlin,2018-04-01,2.617660603,3.306565614077318
Berlin,2018-05-01,0.158182914,3.5502241563690053
Berlin,2018-06-01,0.430173949,4.005320087130548
Berlin,2018-07-01,6.730067256,2.2644347968258254
Berlin,2018-08-01,5.484625143,0.9167654136544829
Berlin,2018-09-01,4.1104215,0.28578263615588195
Berlin,2018-10-01,5.593053978,-0.6774754700082211
Berlin,2018-11-01,-1.381261753,0.44808176356490415
Berlin,2018-12-01,-3.072858237,5.031557995502318
Berlin,2019-01-01,-0.684541911,-0.47809613010995156
Berlin,2019-02-01,1.701329833,-1.4053116949051239
Berlin,2019-03-01,0.264857717,4.703861999570926
Berlin,2019-04-01,2.389155277,3.0780602880773174
Berlin,2019-05-01,1.274678173,4.6667194153690055
Berlin,2019-06-01,1.874553167,5.449699305130547
Berlin,2019-07-01,4.586083253,0.12045079382582546
Berlin,2019-08-01,3.326180601,-1.2416791283455169
Berlin,2019-09-01,2.164822917,-1.6598159468441183
Berlin,2019-10-01,0.150004779,-6.120524669008222
Berlin,2019-11-01,-5.849765831,-4.020422314435096
Berlin,2019-12-01,-11.19735797,-3.092941737497682
Berlin,2020-01-01,-6.343241992,-6.136796211109952
Berlin,2020-02-01,-3.054381876,-6.161023403905123
Berlin,2020-03-01,-24.17771862,-19.738714337429073
Berlin,2020-04-01,-33.95665004,-33.26774502892268
Berlin,2020-05-01,-39.17163556,-35.779594317630995
Berlin,2020-06-01,-36.1805424,-32.60539626186945
Berlin,2020-07-01,-28.96360633,-33.42923878917418
Berlin,2020-08-01,-26.65476284,-31.222622569345518
Berlin,2020-09-01,-24.46142889,-28.28606775384412
Berlin,2020-10-01,-32.95297322,-39.223502668008216
Berlin,2020-11-01,-40.10317331,-38.2738297934351
Berlin,2020-12-01,-40.9953441,-32.89092786749768
Berlin,2021-01-01,-25.51296929,-25.30652350910995
Berlin,2021-02-01,-25.16388798,-28.270529507905124
Berlin,2021-03-01,-38.63568199,-34.196677707429075
Berlin,2021-04-01,-35.71729353,-35.02838851892268
Berlin,2021-05-01,-37.3876591,-33.995617857631
Berlin,2021-06-01,-35.16155638,-31.58641024186945
Berlin,2021-07-01,-19.94093367,-24.406566129174173
Berlin,2021-08-01,-12.85780339,-17.42566311934552
Berlin,2021-09-01,-11.66181249,-15.486451353844119
Berlin,2021-10-01,-3.549986041,-9.820515489008221
Berlin,2021-11-01,-12.33645541,-10.507111893435095
Berlin,2021-12-01,-27.68366607,-19.579249837497684
Berlin,2022-01-01,-18.98722441,-18.78077862910995
Berlin,2022-02-01,-14.58188923,-17.688530757905124
Berlin,2022-03-01,-16.99512267,-12.556118387429073
Berlin,2022-04-01,-5.038549151,-4.349644139922682
Berlin,2022-05-01,-5.520830851,-2.1287896086309956
Berlin,2022-06-01,-9.231739492,-5.656593353869452
Berlin,2022-07-01,-3.886801324,-8.352433783174174
Berlin,2022-08-01,-7.514193859,-12.082053588345516
Berlin,2022-09-01,-5.817648441,-9.642287304844118
Berlin,2022-10-01,-0.821209991,-7.091739439008221
Berlin,2022-11-01,-13.30383335,-11.474489833435095
Berlin,2022-12-01,-22.50591656,-14.401500327497681
Berlin,2023-01-01,-14.29724287,-14.090797089109952
Berlin,2023-02-01,-9.007139594,-12.113781121905124
Berlin,2023-03-01,-14.71630134,-10.277297057429074
Berlin,2023-04-01,-2.620496835,-1.9315918239226821
Berlin,2023-05-01,-9.068031429,-5.675990186630994
Berlin,2023-06-01,-13.47601543,-9.900869291869451
Berlin,2023-07-01,-2.956456668,-7.422089127174175
Berlin,2023-08-01,-6.415483711,-10.983343440345518
Berlin,2023-09-01,-14.23827343,-18.062912293844118
Budapest,2018-01-01,0.81974426,-3.6260236326010227
Budapest,2018-02-01,-1.697829809,-3.9991390050682107
Budapest,2018-03-01,-5.685286646,0.7161533160749904
Budapest,2018-04-01,0.441009525,6.18010177598988
Budapest,2018-05-01,1.274198722,5.293101135569662
Budapest,2018-06-01,-1.689578862,1.0935223556044973
Budapest,2018-07-01,-1.887515468,0.41803185627598993
Budapest,2018-08-01,-6.338696416,-4.617666991165603
Budapest,2018-09-01,-1.248441376,-5.582044103841558
Budapest,2018-10-01,-0.309329759,-5.53920926682464
Budapest,2018-11-01,-1.208492867,-3.6014992954447154
Budapest,2018-12-01,1.696191319,-2.569354937891568
Budapest,2019-01-01,0.311853027,-4.133914865601024
Budapest,2019-02-01,-1.907780655,-4.209089851068211
Budapest,2019-03-01,-4.925923742,1.47551622007499
Budapest,2019-04-01,-0.114749511,5.6243427399898795
Budapest,2019-05-01,1.680307708,5.699210121569663
Budapest,2019-06-01,-2.90415128,-0.12105006239550242
