MetroShort,date,city center,outer suburb,dif,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat,wfh_share,population
"Akron, OH",2023-02-15,2.402801774221253,0.635598442567426,-1.767203331653827,900018,903486,1281.2687613899614,1255.736540926641,35583,716.725181331311,719.4869071288583,10420,"Akron, OH",Akron,OH,0.31823412,0.39422074,0.36687246,0.44169754,OH,149661.87569786998,-81.518898,41.0811,7.705,903486
"Albany, NY",2023-02-15,3.6159967539457782,1.7701758901127387,-1.8458208638330396,932389,941115,3459.153245559846,3395.5572884169883,36791,274.5908611763345,277.1606897078001,10580,"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,NY,0.36932078,0.44743568,0.424283,0.49190852,NY,233281.7558281499,-73.750999,42.6525,13.511666666666667,941115
"Albuquerque, NM",2023-02-15,-0.1903997962821488,1.4204263726973378,1.6108261689794867,902666,928672,11753.961532818534,11738.836901930505,33175,76.89569312029138,79.11107444105266,10740,"Albuquerque, NM",Albuquerque,NM,0.3213281,0.41661993,0.35720241,0.44349107,NM,206967.55061959237,-106.65,35.085602,11.883333333333333,928672
"Allentown, PA",2023-02-15,0.3746681905323703,2.499252257086733,2.1245840665543625,1003571,1016995,2144.4967822393824,2111.092347876448,35928,475.37996194694847,481.73875530504256,10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,PA-NJ,0.26702428,0.33526921,0.32324323,0.38200048,PA,215466.6217024752,-75.4729,40.602001,7.9799999999999995,1016995
"Amarillo, TX",2023-02-15,12.54582658368147,6.095393776475633,-6.450432807205837,259360,271383,4416.158123938224,4382.724571428572,10200,59.17780042368947,61.921071145828655,11100,"Amarillo, TX",Amarillo,TX,0.27327612,0.32389587,0.32019514,0.36323431,TX,143841.12023274563,-101.837,35.207401,4.965,271383
"Anchorage, AK",2023-02-15,1.655824689729601,0.42187727307428236,-1.2339474166553186,382192,400072,16546.50408030888,16210.489195752896,18984,23.57683320871854,24.67982274741084,11260,"Anchorage, AK",Anchorage,AK,0.31688967,0.39055315,0.37114996,0.44523495,AK,328810.7327666055,-149.894798,61.2165,10.278333333333332,400072
"Ann Arbor, MI",2023-02-15,3.8351128554685356,1.8385991793029361,-1.9965136761655995,518465,545756,1092.2275621621625,1062.044932046332,21119,488.1761443002506,513.8727972162587,11460,"Ann Arbor, MI",Ann Arbor,MI,0.39217666,0.47228894,0.4488267,0.4869498,MI,320773.9768899632,-83.745903,42.280201,23.78333333333333,545756
"Appleton, WI",2023-02-15,-0.5796771418450474,0.33250796328538035,0.9121851051304277,417537,439183,1846.101988030888,1822.5607714285711,16526,229.09359542108623,240.97029129830153,11540,"Appleton, WI",Appleton,WI,0.29332155,0.35994455,0.32069758,0.38529652,WI,205926.8021925995,-88.409599,44.261902,6.29,439183
"Asheville, NC",2023-02-15,5.571730722745951,1.9501912759792237,-3.621539446766727,428985,458603,2103.551106949807,2094.9866706563707,22727,204.76741260869056,218.9049727253478,11700,"Asheville, NC",Asheville,NC,0.22882566,0.26964962,0.27794152,0.31634319,NC,275768.8205784874,-82.5532,35.5951,8.981666666666666,458603
"Atlanta, GA",2023-02-15,-2.9694957760924794,1.5706961209093082,4.540191897001788,5430554,6009615,10367.38131158301,10192.647372972971,268859,532.7913152769088,589.6029539818296,12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta-Sandy Springs-Roswell,GA,0.35666603,0.49576303,0.40385821,0.53915775,GA,238978.65581588383,-84.389099,33.756199,20.935,6009615
"Austin, TX",2023-02-15,-3.107307992553894,2.9840004205790738,6.091308413132968,1775659,2177584,5870.20088030888,5793.022355212355,99626,306.5168561627119,375.8977380849717,12420,"Austin-Round Rock, TX",Austin-Round Rock,TX,0.39755037,0.52127868,0.45512399,0.57666129,TX,313189.053620816,-97.746995,30.264924,18.671666666666667,2177584
"Bakersfield, CA",2023-02-15,-2.5768762677484798,-0.6651655387067301,1.9117107290417497,843086,890464,6608.706251351351,6577.331714671815,22116,128.1805504988229,135.38377546227056,12540,"Bakersfield, CA",Bakersfield,CA,0.24432419,0.31218782,0.29072604,0.35714224,CA,230207.4937550361,-119.019,35.377701,6.528333333333333,890464
"Baltimore, MD",2023-02-15,-0.7866834402718513,0.6273527961167307,1.414036236388582,2769977,2856239,3036.3087976833976,2854.2763447876446,120545,970.4655980695112,1000.6876191984492,12580,"Baltimore-Columbia-Towson, MD",Baltimore-Columbia-Towson,MD,0.35200542,0.46967423,0.4155007,0.52644682,MD,297783.08291631675,-76.613998,39.2901,11.998333333333333,2856239
"Baton Rouge, LA",2023-02-15,0.782861320029408,1.3212486184913455,0.5383872984619374,865501,900787,4430.112434749035,4307.941427413128,32433,200.9082562015529,209.09917536666993,12940,"Baton Rouge, LA",Baton Rouge,LA,0.25683343,0.32415456,0.30453247,0.35679933,LA,193836.45788083883,-91.188202,30.452801,10.15,900787
"Beaumont, TX",2023-02-15,3.617230370148657,1.8530075158398012,-1.7642228543088556,400638,405337,2266.3438073359075,2157.631761776062,12615,185.68414087036496,187.8619916432568,13140,"Beaumont-Port Arthur, TX",Beaumont-Port Arthur,TX,0.25647792,0.30148351,0.30156973,0.33036759,TX,147181.61930188752,-94.095497,30.0819,4.21,405337
"Birmingham, AL",2023-02-15,1.0140828067371008,1.286737668739552,0.27265486200245115,1152021,1173400,6054.923454054054,5959.892784169884,42256,193.29559133343668,196.8827364003387,13820,"Birmingham-Hoover, AL",Birmingham-Hoover,AL,0.29884958,0.38673604,0.34709781,0.44548419,AL,175753.8002819586,-86.810699,33.517399,10.066666666666666,1173400
"Boston, MA",2023-02-15,-10.037354408345893,-0.058704048165814426,9.978650360180078,4592369,4872213,3749.0872656370657,3521.3595389961392,228573,1304.1465800760525,1383.6170223586312,71650,"Boston-Cambridge-Nashua, MA-NH",Boston-Cambridge-Nashua,MA-NH,0.38872615,0.50142014,0.44353771,0.55328661,MA,496401.3644800437,-71.058701,42.3549,21.891666666666666,4872213
"Buffalo, NY",2023-02-15,4.601980853051061,-0.2384178354145852,-4.840398688465647,1117380,1112978,1541.1120007722009,1522.9819756756756,45349,733.6790703017158,730.7886880973913,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo-Cheektowaga-Niagara Falls,NY,0.3167901,0.38766649,0.37684783,0.43951178,NY,171888.2317428207,-78.873299,42.884102,10.084999999999999,1112978
"Canton, OH",2023-02-15,1.5028889280363338,2.6475837031885097,1.1446947751521759,372957,367517,1318.7162907335908,1307.2977857142855,10753,285.28848138163295,281.12722595884674,15940,"Canton-Massillon, OH",Canton-Massillon,OH,0.24656302,0.28945863,0.30344361,0.33738163,OH,136649.22345414135,-81.373398,40.801998,5.381666666666667,367517
"Cedar Rapids, IA",2023-02-15,1.1057922450933457,-0.8683222633898755,-1.9741145084832212,279353,291239,2738.8703277992277,2723.727970656371,10913,102.56273864701724,106.92661056376215,16300,"Cedar Rapids, IA",Cedar Rapids,IA,0.34184426,0.4455798,0.38302651,0.47254372,IA,171513.77702465456,-91.6688,41.979301,10.738333333333333,291239
"Charleston, SC",2023-02-15,-0.42497648928235365,2.945257199537261,3.370233688819615,677976,788015,3217.342466795367,2934.4360714285713,35181,231.04132565748515,268.54052390937613,16700,"Charleston-North Charleston, SC",Charleston-North Charleston,SC,0.28707051,0.36801305,0.33705798,0.40912122,SC,277122.0047220648,-79.9347,32.783298,8.625,788015
"Charlotte, NC",2023-02-15,-8.188138073820232,0.3606668919659444,8.548804965786177,1891743,2172467,3781.6736463320462,3713.88224015444,96335,509.3707548253691,584.9585042065466,16740,"Charlotte-Concord-Gastonia, NC-SC",Charlotte-Concord-Gastonia,NC-SC,0.32954726,0.4663735,0.37868536,0.5115307,NC,233275.8602744135,-80.843002,35.2243,16.02,2172467
"Chattanooga, TN",2023-02-15,-1.8004811865962247,1.7857100908510508,3.5861912774472753,617809,647757,2816.9416864864866,2759.211157915058,20403,223.90783620447337,234.76166299989325,16860,"Chattanooga, TN-GA",Chattanooga,TN-GA,0.27364412,0.35716042,0.31837744,0.39439443,TN,189132.17684510423,-85.310501,35.0481,7.723333333333334,647757
"Chicago, IL",2023-02-15,-9.436043848205586,0.8371335388257635,10.27317738703135,9658114,9701082,8746.601874131275,8595.591525868726,452192,1123.6124903019852,1128.6113318442674,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago-Naperville-Elgin,IL-IN-WI,0.33973619,0.44786832,0.39180052,0.49589816,IL,244942.05324958503,-87.626099,41.878201,21.345,9701082
"Cincinnati, OH",2023-02-15,-2.612993191698794,2.3847299015207573,4.997723093219552,2346068,2407841,6631.198608108108,6541.125718532819,84301,358.66425764497086,368.1080449467467,17140,"Cincinnati, OH-KY-IN",Cincinnati,OH-KY-IN,0.31457672,0.41423383,0.36198092,0.45618263,OH,193876.16016534585,-84.5093,39.100498,10.743333333333334,2407841
"Cleveland, OH",2023-02-15,0.9961560828589058,1.007255569118233,0.011099486259327218,1967540,1944436,1784.5769525096523,1748.249783011583,82617,1125.4341451200764,1112.2186422643,17460,"Cleveland-Elyria, OH",Cleveland-Elyria,OH,0.31750074,0.4021273,0.3654854,0.44317737,OH,158860.24570392317,-81.689697,41.501301,10.17,1944436
"Colorado Springs, CO",2023-02-15,-2.6792365707249504,-1.8398913530131098,0.8393452177118406,657015,736812,3733.320384169884,3722.0163297297295,33704,176.5212567048862,197.9604426006113,17820,"Colorado Springs, CO",Colorado Springs,CO,0.36108276,0.4663882,0.40308225,0.50151491,CO,324964.626928713,-104.825,38.832298,10.753333333333334,736812
"Columbia, SC",2023-02-15,1.3802824697918643,2.2195193010062204,0.8392368312143561,821713,875238,4630.5428918918915,4483.216555212355,30693,183.28648413038303,195.22545681680617,17900,"Columbia, SC",Columbia,SC,0.3102341,0.39495081,0.36856678,0.44911692,SC,162841.41326241326,-81.0355,34.005798,10.341666666666667,875238
"Columbus, GA",2023-02-15,-10.11122795664132,0.9815953667257148,11.092823323367035,288095,299739,1844.509145173745,1806.9060324324323,8906,159.44105273264844,165.88521739367678,17980,"Columbus, GA-AL",Columbus,GA-AL,0.3130503,0.4157635,0.3517563,0.45372504,GA,125448.84201999774,-84.991707,32.464727,8.283333333333333,299739
"Columbus, OH",2023-02-15,-2.0823082417364396,1.6186297811373893,3.700938022873829,1927792,2104675,4782.868472200772,4730.512099227799,75737,407.5228980631272,444.91483286631137,18140,"Columbus, OH",Columbus,OH,0.34627905,0.44996524,0.3954353,0.49789947,OH,213918.44940185497,-82.999496,39.961201,12.946666666666667,2104675
"Corpus Christi, TX",2023-02-15,-2.702036416829582,0.43154674719440683,3.133583164023989,396807,420827,1432.2285833976837,1254.2614555984555,14972,316.367052681746,335.5177647544048,18580,"Corpus Christi, TX",Corpus Christi,TX,0.25577381,0.30370814,0.31022996,0.34816521,TX,172228.51611902224,-97.394302,27.7945,4.855,420827
"Dallas, TX",2023-02-15,2.110271394914785,1.7993980490012962,-0.3108733459134887,6401545,7359183,9684.832208494208,9338.944444787645,292811,685.4677247355188,788.0101486316678,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth-Arlington,TX,0.34575835,0.46431294,0.39693448,0.51277018,TX,253427.9624680422,-96.798698,32.780399,14.965,7359183
"Denver, CO",2023-02-15,-3.326781734307781,-0.9145282212204074,2.4122535130873732,2506951,2850907,8638.507733204633,8579.675965637065,154086,292.1964663981167,332.2860923207736,19740,"Denver-Aurora-Lakewood, CO",Denver-Aurora-Lakewood,CO,0.3743498,0.50087583,0.42583242,0.54984295,CO,436057.3797004603,-104.997,39.749298,17.29,2850907
"Des Moines, IA",2023-02-15,-0.21843782174360676,1.541957916226407,1.7603957379700137,562915,633852,3269.3527405405403,3248.4280444015444,27526,173.28843129837756,195.1257627800631,19780,"Des Moines-West Des Moines, IA",Des Moines-West Des Moines,IA,0.3752175,0.48650342,0.42664063,0.53014994,IA,213867.11242734484,-93.619598,41.5896,16.368333333333332,633852
"Detroit, MI",2023-02-15,1.2722825017473152,-0.17457309447015268,-1.4468555962174678,4275414,4285707,4391.751215057915,4235.696669498069,171032,1009.376811797677,1011.80687249445,19820,"Detroit-Warren-Dearborn, MI",Detroit-Warren-Dearborn,MI,0.32424751,0.43224531,0.35065165,0.44599846,MI,178151.00853071414,-83.049103,42.332298,15.865,4285707
"Durham, NC",2023-02-15,-1.1741375331718016,-1.7588249852344748,-0.5846874520626733,663067,766642,2161.0009525096525,2109.345145945946,31780,314.34732304212093,363.450240219552,20500,"Durham-Chapel Hill, NC",Durham-Chapel Hill,NC,0.41275987,0.52036542,0.45957696,0.57052588,NC,261047.275831357,-78.899696,35.994999,12.396666666666667,766642
"El Paso, TX",2023-02-15,3.867191827871213,0.10178145822379517,-3.7654103696474177,813672,850497,882.5824274131274,880.4384185328186,26135,924.166850142592,965.9926033410565,21340,"El Paso, TX",El Paso,TX,0.29758063,0.34773588,0.34833768,0.38792619,TX,137814.4897465705,-106.487,31.760099,6.256666666666667,850497
"Eugene, OR",2023-02-15,16.96190632045967,0.40758726057085387,-16.554319059888815,341093,361724,2497.262100772201,2440.4819362934363,16993,139.76460752585876,148.21826567148472,21660,"Eugene, OR",Eugene,OR,0.28670657,0.34700429,0.34138468,0.39282721,OR,309980.09929025243,-123.095,44.050701,7.941666666666666,361724
"Evansville, IN",2023-02-15,4.972124830222053,2.5787509878869876,-2.3933738423350652,418117,422318,2903.3899054054054,2842.1136683397685,15785,147.1148056665322,148.59293092478552,21780,"Evansville, IN-KY",Evansville,IN-KY,0.24462347,0.30506468,0.28743854,0.33877203,IN,142205.9784311406,-87.573196,37.974098,5.451666666666666,422318
"Fayetteville, NC",2023-02-15,-7.434082892416225,2.2010842639325654,9.63516715634879,421684,442547,1395.8708961389962,1387.995475289575,11115,303.8079068031722,318.8389356295791,22180,"Fayetteville, NC",Fayetteville,NC,0.26853907,0.34321123,0.32274923,0.3869625,NC,145427.29843083513,-78.8797,35.053101,6.691666666666666,442547
