city,distance_val.x,avg_2023,distance_val.y,slope,t_stat,p_value,not_positive,less_five,persisters
Auckland,40,-15.240035921061105,40,-0.041101836598584525,-2.5318378901875347,0.0391277375070502,1,1,1
Basel,40,-31.58813308130179,40,-0.07664865404736909,-2.9138411661429644,0.022536855074766275,1,1,1
Bertrange,40,-50.61101518076865,40,-0.15677990294783267,-5.175686515440579,0.0012869908887352959,1,1,1
Brasilia,40,-35.937187761671325,40,-0.02758665389353937,-2.8768831048220376,0.023757141247077167,1,1,1
Bratislava,40,-44.46327402196364,40,-0.07014787207360441,-3.017310865784391,0.01946008161142774,1,1,1
Brest,40,-114.21284418309507,40,-0.2557660597586289,-5.275049164120834,0.0011542564763982119,1,1,1
Brisbane,40,-27.166770088222655,40,0.01882022342251937,0.765333583867444,0.469085984662172,1,1,1
Bucharest,40,-45.41049384561476,40,-0.06499382070825356,-2.2503791034626537,0.05916502273726734,1,1,1
Cairo,40,-17.173520035686334,40,-0.0033580991164676092,-0.5117066143421584,0.6245991213130073,1,1,1
Calgary,40,-22.038322898140855,40,-0.046758285168368746,-1.9274324022408917,0.09528176838796389,1,1,1
Celje,40,-44.63007531154249,40,-0.1304684874628107,-6.420198268957726,3.6029954068803884e-4,1,1,1
Chisinau,40,-96.64984583948332,40,-0.13613878887565012,-4.648084780765398,0.0023471560126543953,1,1,1
Cluj-Napoca,40,-56.47673880301091,40,-0.11045523550794976,-2.7100336001544383,0.030197546126596527,1,1,1
Cologne,40,-14.19839367389829,40,-0.010084911427498162,-0.8311919281397453,0.43329872566258487,1,1,1
Concepcion,40,-88.8421300803757,40,0.0817594651186913,0.4263085626611103,0.6826860501128329,1,1,1
Debrecen,40,-27.270718414454176,40,-0.09138538512937627,-2.5789921146242696,0.036525931201761355,1,1,1
Dublin,40,-37.771008604002155,40,-0.013991006680657427,-0.6799941882495272,0.5183568822791681,1,1,1
Edmonton,40,-20.3482832319861,40,-0.07941199995689736,-3.3494181170597535,0.012260522162214366,1,1,1
Faro,40,-25.89287718682735,40,-0.16978708568170103,-2.8659817710524997,0.02413024874804982,1,1,1
Glasgow,40,-38.2918652320358,40,-0.03460122057259019,-1.15904823669185,0.28444241445713875,1,1,1
Haifa,40,-22.466705289733543,40,-0.012784402085116326,-0.5352873977137514,0.6090280083176016,1,1,1
Homyel,40,-53.64857522687519,40,-0.02212684495809786,-1.0101346974485048,0.34606552833927384,1,1,1
Houston,40,-14.879512094034835,40,-0.049002151597597535,-4.545897088063715,0.002649011563000937,1,1,1
Jerusalem,40,-19.15180671574009,40,-0.07378713517020023,-1.7868055761559096,0.11712366676134225,1,1,1
Johor Bahru,40,-22.901611111050865,40,0.007292518418504707,0.393041504154624,0.7059840618095858,1,1,1
Klaipeda,40,-60.85589874245767,40,-0.31809993928166724,-2.84483273551177,0.024871811388830645,1,1,1
Kosice,40,-24.39976393813169,40,-0.15413194946257366,-4.118991891021947,0.004465210404597968,1,1,1
Krakow,40,-19.6067692104885,40,-0.02491950441631613,-2.278947237751229,0.05672423700084596,1,1,1
London,40,-69.98494447933975,40,-0.0690595463782025,-4.53656976858466,0.0026786300029577213,1,1,1
Luxembourg,40,-21.879374642832765,40,-0.07130827405458634,-3.267344504474073,0.013724527118352455,1,1,1
Manama,40,-18.563001534990367,40,-0.04552540231853558,-1.2763205451441462,0.24255377397236452,1,1,1
Manchester,40,-16.617820381321064,40,-0.021839299674813014,-1.071090032318991,0.3196630740531152,1,1,1
Maribor,40,-37.80010691532737,40,-0.025874329918762616,-1.1001991280187915,0.30763523613913507,1,1,1
Melbourne,40,-26.931575282157866,40,0.018929133452928182,1.1498743921205568,0.2879601698625273,1,1,1
Odense,40,-45.44479496920453,40,-0.2887727781321987,-3.152273994291337,0.016100890681931983,1,1,1
Ostrava,40,-33.160598597675566,40,-0.09446102107964943,-5.210599407512102,0.0012385092067553594,1,1,1
Palma,40,-34.46091854186811,40,-0.5675288950379537,-5.0159357325280265,0.0015374597156567415,1,1,1
Rijeka,40,-65.85794179405202,40,-0.30842263429778466,-3.8457146095411385,0.006327482457147558,1,1,1
Sarajevo,40,-27.80656005084601,40,-0.06299139325408198,-2.265879896493383,0.057827758830976225,1,1,1
Skopje,40,-95.68240220193182,40,-0.2626286710674926,-2.07639744142722,0.07649089518434454,1,1,1
Stockholm,40,-16.15826637114482,40,-0.03604356425293024,-1.77397020789001,0.1193420681502343,1,1,1
Sydney,40,-29.580803402726644,40,0.006948783197397168,0.4431671891962811,0.6710174703788258,1,1,1
