MetroShort,distance_val.x,avg_2023,distance_val.y,slope,t_stat,p_value,not_positive,less_five,persisters
"Akron, OH",40,1.1558109560318048,40,0.02735394792789573,2.0331275286718036,0.08153561846896881,0,0,0
"Albany, NY",40,-12.071021192301798,40,-0.06466483598510149,-4.284907663500262,0.0036333719452797727,1,1,1
"Albuquerque, NM",40,-12.32670278756294,40,0.019372350929657264,1.3915006127876113,0.20669198842451014,1,1,1
"Allentown, PA",40,0.34395414586896633,40,-0.008174420484625158,-0.6844768593250822,0.515688874482435,1,0,0
"Ann Arbor, MI",40,-11.433362948328403,40,-0.00266362513429576,-0.10663227442769645,0.9180723626024196,1,1,1
"Atlanta, GA",40,-12.422260920252745,40,-0.008123131065938339,-0.42382041862109404,0.6844162107074279,1,1,1
"Augusta, GA",40,6.195507544511088,40,-0.11511199372251829,-0.348012167760066,0.7380616839813748,1,0,0
"Austin, TX",40,1.7231519908547472,40,-0.07409758178628961,-2.0242134860820458,0.08261514694145129,1,0,0
"Bakersfield, CA",40,6.786325159816943,40,0.03712827523632476,2.8675263897521392,0.024077009432085107,0,0,0
"Baltimore, MD",40,12.647544099187446,40,0.003188372578053704,0.5821387179730741,0.5787318640777052,1,0,0
"Baton Rouge, LA",40,7.951482694002826,40,0.027530754353311766,2.8058498168985286,0.026302245340934855,0,0,0
"Birmingham, AL",40,-0.8384363700160296,40,-0.04748236023019393,-4.468391117798006,0.002906554701671601,1,0,0
"Boise City, ID",40,3.2624595059920076,40,0.0086798075206346,1.3148423393883206,0.2299987387158508,1,0,0
"Boston, MA",40,-5.347262585377089,40,-0.04413850665883107,-3.244237137401725,0.014169750466252816,1,1,1
"Bridgeport, CT",40,-3.461124109654934,40,-0.014037508464946533,-1.2895495945518847,0.23817694883512466,1,1,1
"Buffalo, NY",40,14.206006293410212,40,-0.10691054359415951,-3.8726434891640666,0.006110773242515477,1,0,0
"Cape Coral, FL",40,5.486613812336165,40,0.04455978929031786,2.973916376972004,0.020692517739609635,0,0,0
"Charleston, SC",40,-1.8693195932712774,40,5.858060342847362e-4,0.05076955835265352,0.9609274900653485,1,1,1
"Charlotte, NC",40,-3.815472351793534,40,-0.04424093895067204,-2.4795181555033987,0.04223991327044995,1,1,1
"Chattanooga, TN",40,-14.321265602940857,40,-0.044846647233608226,-3.5682417984816177,0.009118334139118514,1,1,1
"Chicago, IL",40,-13.211029387778481,40,0.06873092459083004,6.8593059546293444,2.399645236166552e-4,0,1,0
"Cincinnati, OH",40,-27.786819654633774,40,0.007142468321063892,0.4626197233254521,0.6576736272402948,1,1,1
"Cleveland, OH",40,-20.676704209376773,40,0.0285315527887529,1.445539377693467,0.1915454503413609,1,1,1
"Colorado Springs, CO",40,-3.3318847364344735,40,0.06838681506399479,3.784668333897797,0.006850394916211335,0,1,0
"Columbia, SC",40,-5.451477619840834,40,-0.11135916947473246,-2.0289220408491917,0.08204317045900338,1,1,1
"Columbus, OH",40,-3.402254641272039,40,-0.062218873216151785,-4.069263389910142,0.004753644463644825,1,1,1
"Dallas, TX",40,-0.2785376398206125,40,-0.05451539483805916,-7.199309795911289,1.775626478459072e-4,1,0,0
"Deltona, FL",40,2.7294679456013884,40,-0.04702482745809576,-1.6625026250716084,0.14036420204993938,1,0,0
"Denver, CO",40,13.769861446473797,40,-0.04652812704811323,-1.7107283633670651,0.1308710209487236,1,0,0
"Des Moines, IA",40,-9.697849347836868,40,-0.048404057331295595,-1.768452794794572,0.12030798396345689,1,1,1
"Detroit, MI",40,2.9348675529855686,40,0.0113468073131555,0.8282199640466318,0.43487115160433687,1,0,0
"Durham, NC",40,-9.274747315245254,40,-0.04012194889435621,-4.450308682746763,0.0029705354717283715,1,1,1
"El Paso, TX",40,1.568678394449023,40,0.008129810783030619,0.6482781154805712,0.537481885750685,1,0,0
"Fayetteville, AR",40,-1.7108140627719832,40,0.02401237893960097,0.662723260317744,0.5287176768071999,1,1,1
"Fresno, CA",40,10.532420810694447,40,0.006250570923889607,0.45464422622615414,0.6631287726247195,1,0,0
"Grand Rapids, MI",40,-9.700689171865527,40,-0.09170295794657084,-3.5345126922225543,0.009539847464858782,1,1,1
"Greensboro, NC",40,-9.674224502744789,40,-0.019794260166895516,-1.3943568250772866,0.2058654460086203,1,1,1
"Greenville, SC",40,1.01307538746419,40,-0.05414755129254881,-3.187101288651293,0.015338355795324509,1,0,0
"Harrisburg, PA",40,-3.417746038621879,40,-0.07087602934088649,-4.3683785717742305,0.0032805289652292078,1,1,1
"Hartford, CT",40,-1.5674117489772101,40,-0.06931435820656151,-4.095262829987187,0.0046003785514417365,1,0,0
"Houston, TX",40,-15.770845401109058,40,-0.04761548977117646,-4.474158956096314,0.002886467110406874,1,1,1
"Indianapolis, IN",40,-6.416633993019128,40,-0.005376961988399485,-0.2027535683035562,0.8450949795046676,1,1,1
"Jackson, MS",40,-14.815965445342274,40,-0.01282050276813816,-1.0111577301673862,0.345608691807299,1,1,1
"Jacksonville, FL",40,-1.688080340025067,40,-0.020539117458765563,-0.8668935881556628,0.41472520242880573,1,1,1
"Kansas City, MO",40,18.31268526070677,40,-0.004334453314655109,-0.24789599211028723,0.811329510385378,1,0,0
"Knoxville, TN",40,-13.627282032461752,40,-0.07624063294630605,-1.3251979428263363,0.22672143148115662,1,1,1
"Lakeland, FL",40,0.5451906837722349,40,-0.05375808358697356,-1.7840710990404705,0.11759294218849954,1,0,0
