MetroShort,avg_2023,slope,t_stat,p_value,not_positive,less_five,persisters
"Albany, GA",-3.220468778753493,-0.004360093881690111,-6.466822680535172,0.0029453870892669175,1,1,1
"Albany, NY",-1.6837210449561837,0.0017390398179025907,1.4857485538621167,0.21153252856535196,1,1,1
"Albuquerque, NM",-0.6869945808771168,9.432676502799391e-4,1.8344999567641451,0.14049195203569254,1,1,1
"Anchorage, AK",-4.22015616641232,-0.002631652206869162,-5.882498526625093,0.004173933510058737,1,1,1
"Appleton, WI",-2.3455471289025596,-0.0015427019376965205,-1.671701778207545,0.1699014298232705,1,1,1
"Atlanta, GA",-3.1889471082180183,5.467992865932136e-5,0.26433493556828225,0.8045827546002567,1,1,1
"Atlantic City, NJ",-0.565670867215625,-0.0015040459453854367,-8.772858283931473,9.308370826028602e-4,1,1,1
"Austin, TX",-2.7860642345790714,-0.0013681063593440036,-2.8579206791691996,0.04602599639553551,1,1,1
"Bakersfield, CA",-7.144924552152469,-0.0035428289545759964,-9.425201048966278,7.064474360940377e-4,1,1,1
"Baltimore, MD",-1.5244996305060938,5.781455118020282e-4,1.1411696958305941,0.3174798648007197,1,1,1
"Barnstable Town, MA",-6.5324724517422945,-0.024217358434489574,-4.233553820506819,0.013332087622335521,1,1,1
"Bloomington, IL",-1.0514914497476493,0.0011860774376435052,1.9265134207143306,0.12632101545643978,1,1,1
"Boston, MA",-8.462804934893592,-0.002440524887731588,-5.225371304028382,0.006403905705249503,1,1,1
"Bremerton, WA",-7.062865975271066,-0.014927833663575495,-13.978251850805863,1.5193762044449116e-4,1,1,1
"Buffalo, NY",-0.7177496030108559,-0.009579499798995377,-6.084704640607961,0.0036878678069460712,1,1,1
"Burlington, VT",-13.986530620389988,-0.023730798497541415,-4.257527495805084,0.01307934051847097,1,1,1
"Canton, OH",-1.6315990786572823,-0.009049147473083373,-6.396700944780415,0.003066796717410804,1,1,1
"Cape Coral, FL",-2.2620127420287686,0.0031373800571702017,1.3924081194345699,0.2362111081765862,1,1,1
"Charleston, SC",-2.357827754579673,-0.0017567355176064288,-1.0239217864706436,0.3637531836172623,1,1,1
"Charlotte, NC",-4.315505576840744,-9.551188438691076e-4,-0.8550889285483236,0.44069526677693566,1,1,1
"Chattanooga, TN",-5.138931009214792,-0.0059737265768278645,-21.246180355509598,2.9016220148007264e-5,1,1,1
"Chicago, IL",-7.273234072890501,4.4394063401143925e-4,0.6094951658283677,0.5751188209364513,1,1,1
"Chico, CA",-16.400829998568312,-0.013042337253403162,-20.54603817345558,3.31444803655214e-5,1,1,1
"Colorado Springs, CO",-2.915166922018797,-0.005847641067450203,-9.964447049170117,5.698059571796268e-4,1,1,1
