MetroShort,avg_2023,slope,t_stat,p_value,not_positive,less_five,persisters
"Akron, OH",6.436143233046962,5.198234798198235e-4,0.915553855021197,0.4117022272778581,1,0,0
"Albany, GA",16.378027466343667,-0.004360093881690111,-6.466822680535172,0.0029453870892669175,1,0,0
"Albany, NY",-0.8093477350010609,0.0017390398179025907,1.4857485538621167,0.21153252856535196,1,0,0
"Albuquerque, NM",-1.1267022648549854,9.432676502799391e-4,1.8344999567641451,0.14049195203569254,1,0,0
"Allentown, PA",19.845742645849427,0.001598873803483951,3.0542033233124832,0.037872304533152455,0,0,0
"Altoona, PA",2.1765340655881613,7.731178728308971e-4,1.6110909128107855,0.18245040211422583,1,0,0
"Amarillo, TX",-1.9599674327951184,0.012277139203544053,9.68203492700577,6.3681490466084e-4,0,1,0
"Ames, IA",-8.142480043232295,0.002125847028570506,1.5330742854254813,0.20003116913178412,1,1,1
"Anchorage, AK",-7.820343591280511,-0.002631652206869162,-5.882498526625093,0.004173933510058737,1,1,1
"Anderson, IN",41.0922936261814,0.007413213055498634,12.376397327761577,2.4496552564553587e-4,0,0,0
"Ann Arbor, MI",-2.209799482746379,0.0030114535301775376,1.4747073939008126,0.214311047995432,1,1,1
"Appleton, WI",5.53321880618941,-0.0015427019376965205,-1.671701778207545,0.1699014298232705,1,0,0
"Asheville, NC",-4.704615884261051,4.3801728592613955e-4,0.5240834691370038,0.6279185631673434,1,1,1
"Atlanta, GA",-28.608494722585906,5.467992865932136e-5,0.26433493556828225,0.8045827546002567,1,1,1
"Atlantic City, NJ",2.5056699257521093,-0.0015040459453854367,-8.772858283931473,9.308370826028602e-4,1,0,0
"Austin, TX",-5.331444294464441,-0.0013681063593440036,-2.8579206791691996,0.04602599639553551,1,1,1
"Bakersfield, CA",-2.1513211449015417,-0.0035428289545759964,-9.425201048966278,7.064474360940377e-4,1,1,1
"Baltimore, MD",-10.004754709822064,5.781455118020282e-4,1.1411696958305941,0.3174798648007197,1,1,1
"Barnstable Town, MA",-1.2559717566171131,-0.024217358434489574,-4.233553820506819,0.013332087622335521,1,0,0
"Baton Rouge, LA",-36.0717977830946,0.006365057465956839,21.32496449014125,2.8592882172894962e-5,0,1,0
"Beaumont, TX",-7.4898422438383365,0.008531590492603274,9.043385960211252,8.283784706077853e-4,0,1,0
"Bellingham, WA",-2.107881232542543,0.004168903363879587,4.3663803104428265,0.012002020772814896,0,1,0
"Birmingham, AL",5.57066116761134,0.0020769010306890103,7.738725671509317,0.001501796177923817,0,0,0
"Bloomington, IL",-0.04605728920531957,0.0011860774376435052,1.9265134207143306,0.12632101545643978,1,0,0
"Boise City, ID",-5.269977910404304,0.004692215158578213,4.089327913436818,0.014983376270245026,0,1,0
"Boston, MA",-22.500544840640885,-0.002440524887731588,-5.225371304028382,0.006403905705249503,1,1,1
"Bremerton, WA",-6.008228648482065,-0.014927833663575495,-13.978251850805863,1.5193762044449116e-4,1,1,1
"Bridgeport, CT",4.907356971998049,-2.0693005315826647e-4,-0.3341336099958087,0.7550627466835464,1,0,0
"Buffalo, NY",-14.506492427775749,-0.009579499798995377,-6.084704640607961,0.0036878678069460712,1,1,1
"Burlington, VT",2.6619572408054792,-0.023730798497541415,-4.257527495805084,0.01307934051847097,1,0,0
"Canton, OH",10.920446134014178,-0.009049147473083373,-6.396700944780415,0.003066796717410804,1,0,0
"Cape Coral, FL",0.975199547395032,0.0031373800571702017,1.3924081194345699,0.2362111081765862,1,0,0
"Cedar Rapids, IA",-2.808266586015608,0.02605385461151717,37.53621876646231,3.008133097161556e-6,0,1,0
"Champaign, IL",-1.505488231655341,0.001393419146573686,1.337985596006476,0.2519004585588695,1,1,1
"Charleston, SC",-9.105197443800227,-0.0017567355176064288,-1.0239217864706436,0.3637531836172623,1,1,1
"Charleston, WV",1.0815928768976784,0.008274960926338615,6.4190661666769415,0.0030274155601377356,0,0,0
"Charlotte, NC",-22.16532734913636,-9.551188438691076e-4,-0.8550889285483236,0.44069526677693566,1,1,1
"Chattanooga, TN",-10.63475108287655,-0.0059737265768278645,-21.246180355509598,2.9016220148007264e-5,1,1,1
"Chicago, IL",-30.17232472962875,4.4394063401143925e-4,0.6094951658283677,0.5751188209364513,1,1,1
"Chico, CA",2.1701333096442075,-0.013042337253403162,-20.54603817345558,3.31444803655214e-5,1,0,0
"Cincinnati, OH",-10.516372160787016,0.0025130656183613522,5.124661175291119,0.006863883258823937,0,1,0
"Clarksville, TN",4.479520851983657,0.002718487646664527,3.491558097260113,0.025087366425095514,0,0,0
"Cleveland, OH",-15.740959255844231,4.996703045842335e-4,0.49907774700127727,0.6439245383081187,1,1,1
"College Station, TX",2.776056941883597,0.00797609501082054,7.0477129003245675,0.0021370050833554805,0,0,0
"Colorado Springs, CO",-2.4580854402005317,-0.005847641067450203,-9.964447049170117,5.698059571796268e-4,1,1,1
"Columbia, SC",-3.680699248370667,0.006436037633518643,5.7011952018580905,0.004678175230070609,0,1,0
"Columbus, GA",-6.641464889083804,-0.001675524258673771,-1.9076745661039938,0.1290914273160526,1,1,1
"Columbus, OH",-16.18381077749961,-0.001288673559429344,-2.7453405534856343,0.051621103027908365,1,1,1
"Corpus Christi, TX",-15.461252184943776,7.946474663561271e-4,1.0483342961696993,0.35364794669033367,1,1,1
"Crestview, FL",4.706751969329221,0.002365700789791786,0.6651245715642008,0.5423590012262969,1,0,0
"Cumberland, MD",-0.49890170571884923,-4.185522974502444e-4,-1.2041746829595628,0.2949031634707557,1,0,0
"Dallas, TX",-22.728701044125433,0.0030799730453249423,2.888344661142164,0.0446370706650089,0,1,0
"Danville, IL",-3.7323923106282617,1.2167479951210247e-4,0.17999745527079047,0.8659054369422017,1,1,1
"Davenport, IA",-3.1627250141673398,-0.0012890393661249674,-1.9662650097444605,0.12068483432134783,1,1,1
"Decatur, AL",5.066463148855584,6.81916962234174e-4,0.5436356358779482,0.6155726496995657,1,0,0
"Denver, CO",-10.904689398564502,-0.0023145664485129626,-4.524968408886455,0.01061799640463017,1,1,1
"Des Moines, IA",8.525668792104044,-0.0016247699330258173,-3.7204130062802614,0.020467151362827615,1,0,0
"Detroit, MI",-22.977258236192778,-0.0020962701952185344,-3.527509563303034,0.024285006497187393,1,1,1
"Duluth, MN",0.879911199937665,-0.00849489102755354,-4.114261858823837,0.014680986686994158,1,0,0
"Durham, NC",-11.166942321129229,0.005961195580547902,11.968336392491747,2.7929873481986244e-4,0,1,0
"Eau Claire, WI",0.18185430888664458,0.003369205923991837,3.7176463407213314,0.020516607223365062,0,0,0
"El Paso, TX",-3.7800326410570957,0.00608593963730554,23.236809008007388,2.0328347473400434e-5,0,1,0
"Elizabethtown, KY",-3.5257639164347294,0.0025493696858407905,4.016008003961641,0.01591702851376135,0,1,0
"Elkhart, IN",2.337300020031594,0.00903373570891733,12.051505061476593,2.7183776600614543e-4,0,0,0
"Elmira, NY",5.056725898661628,9.916268668199886e-4,1.8383895423574925,0.13985943283595514,1,0,0
"Erie, PA",14.527546687399894,-2.4098308530344975e-4,-0.18512654814133064,0.8621375995041918,1,0,0
"Eugene, OR",-2.5759051464481035,0.008351410437565071,9.648712444166232,6.453525934370075e-4,0,1,0
"Evansville, IN",17.828722665173917,-0.015749885874078176,-8.562601547438025,0.0010214937899728836,1,0,0
"Fayetteville, NC",2.178111517608647,-0.007313246877108031,-6.69272820642732,0.002592477278499061,1,0,0
"Flint, MI",31.689259274885412,-8.448094013708374e-4,-1.9155859186462656,0.12792005290858655,1,0,0
"Florence, AL",-3.0587614462619657,-0.0026239236813902877,-2.176950476670216,0.0950680618247822,1,1,1
"Fond du Lac, WI",7.134478946947891,-0.0036901127456738098,-4.305673247179366,0.012589009023921825,1,0,0
"Fort Smith, AR",-11.595585028275437,0.011856933490311186,27.253590616007937,1.0778748240521546e-5,0,1,0
"Fort Wayne, IN",5.391563071473126,-5.408361817374816e-4,-0.5512961690428992,0.6107767571632936,1,0,0
"Fresno, CA",1.6162439490664207,0.002993744395652462,6.733594061693523,0.0025343171795875453,0,0,0
"Gainesville, FL",-0.3331104589283107,0.002869696298718609,3.141947353828367,0.03478245418297525,0,0,0
"Gainesville, GA",0.3173913934106503,4.834097132786433e-4,0.3811366788878519,0.7224808880595274,1,0,0
"Glens Falls, NY",-4.377673763157232,-0.011560552739053136,-5.661616590267702,0.004798007205619662,1,1,1
"Grand Junction, CO",1.923330348461488,-0.01427252688190362,-20.215504599858534,3.534770180368082e-5,1,0,0
"Grand Rapids, MI",0.12669650576918912,-0.0032946581543006103,-1.9703180976708088,0.12012573941557314,1,0,0
"Great Falls, MT",-0.020705276108894954,-0.002994238231050136,-3.750521650544819,0.019938052484559377,1,0,0
"Greeley, CO",-0.6945919502704679,0.0033781942073066117,4.5377027648835515,0.010515475037315385,0,0,0
"Green Bay, WI",0.6566472019074674,0.0045363607052318535,4.797291009861406,0.008665277384349497,0,0,0
"Greensboro, NC",5.705438892670233,0.003465644875827284,4.349485390421602,0.012161995276046295,0,0,0
"Greenville, SC",-5.993651050446188,-0.0053758610954161515,-6.155274207056453,0.003534771973051357,1,1,1
"Gulfport, MS",15.455003237792575,-0.002144488327095412,-4.054858815161366,0.015413852719003512,1,0,0
"Hagerstown, MD",-1.4558674697967406,0.0032078795385457764,5.5015293354132195,0.005322785292059637,0,1,0
"Harrisburg, PA",10.445849089329851,0.004390396153889681,9.09784876856345,8.094723391626909e-4,0,0,0
"Hartford, CT",1.7091929500013416,0.0025914894297119915,5.036633710047697,0.007299329991517151,0,0,0
"Hinesville, GA",9.744257991217086,0.004688812785909675,10.873613649022834,4.0602848336838824e-4,0,0,0
"Honolulu, HI",-11.300366207686627,-0.0019022094480349104,-2.87009615140241,0.045464204906713324,1,1,1
"Houston, TX",-20.479262020872913,0.006379443589054873,11.180823961669537,3.6428683771353863e-4,0,1,0
"Huntington, WV",-7.251167385537201,0.020005501847566498,17.93858934929252,5.676150055585892e-5,0,1,0
"Huntsville, AL",-6.282697243617682,2.9514127107360693e-4,0.6276700259918966,0.5642710857255551,1,1,1
"Indianapolis, IN",-24.028611314448185,-0.002937117209092449,-2.551809554312135,0.06318405808590655,1,1,1
"Iowa City, IA",-3.410160994385402,-0.001902650872355907,-2.910303588961197,0.0436648853449458,1,1,1
"Ithaca, NY",-5.1961822281109304,-0.002461537293083633,-0.9889022341896492,0.37869199176510693,1,1,1
"Jackson, MI",1.8818690889411054,-0.0027299086568853565,-3.833593642497727,0.018560932367369307,1,0,0
"Jackson, MS",-24.076339986264205,0.0032986644167860768,7.679872299087443,0.0015458736776132115,0,1,0
"Jacksonville, FL",-5.22347645136262,3.1644707218772273e-4,0.3962533607094265,0.7121470834611298,1,1,1
"Johnson City, TN",4.508871047932331,0.0015407950019038718,1.950783278661755,0.12284669045631523,1,0,0
"Johnstown, PA",-18.719541704671705,-0.06411897565397738,-6.2262271388026615,0.003388642937889293,1,1,1
"Joplin, MO",-2.594961333798618,0.001190458901372185,1.0327399675465638,0.3600739377156227,1,1,1
"Kalamazoo, MI",7.378771547867713,-0.06347521055513076,-20.458001804493996,3.371414151496714e-5,1,0,0
"Kankakee, IL",3.2442814259670882,-3.950894436025628e-4,-0.47982624788907285,0.6564089538358948,1,0,0
"Kansas City, MO",-16.594776201400354,-0.001264542740084121,-3.5695684776017833,0.02338477211182629,1,1,1
"Killeen, TX",23.299804583492712,-0.009818709445971895,-5.787103602658609,0.0044304464133804585,1,0,0
"Kingsport, TN",-4.184436096045787,-0.0015721262539202068,-1.8587621521303745,0.13659607710624733,1,1,1
"Knoxville, TN",-0.3341995226106436,0.002289683455552823,5.88601098176045,0.0041648413662465624,0,0,0
"Lake Charles, LA",-28.272682093339956,0.007967064510407757,10.204711958224797,5.195704919500792e-4,0,1,0
"Lake Havasu City, AZ",2.6789890288511162,-0.0423354000263177,-11.275923071548526,3.5245838203806665e-4,1,0,0
"Lancaster, PA",3.983357376120045,0.0013222740809356941,4.960636178632363,0.007702620129833683,0,0,0
"Lansing, MI",5.897960340858776,0.0010946412429250693,2.886168982438804,0.044734760202819454,0,0,0
"Laredo, TX",-13.052397304091109,0.0013437223775252844,2.5885252290610192,0.06077832819860353,0,1,0
"Las Vegas, NV",3.4321777650204464,0.001011691927307736,2.0179253367501957,0.11376636493679816,1,0,0
"Lewiston, ME",1.1454300085519549,0.005071097682529542,7.588723821417011,0.0016173418109603633,0,0,0
"Lexington, KY",-1.5659783607376776,-1.0568771668272575e-5,-0.02947809020070359,0.9778954338143093,1,1,1
"Lincoln, NE",2.376102919511192,0.0034580970106814356,4.876548622932569,0.008180942442283687,0,0,0
"Little Rock, AR",13.410931034093325,0.013258992416009871,11.605819709126049,3.14958135915127e-4,0,0,0
"Logan, UT",-0.7021723976850983,0.006767527909643905,9.770441441387929,6.148339060235568e-4,0,0,0
"Longview, TX",-4.216171787303298,0.0015692411828358642,3.7152743187051787,0.02055912236702612,0,1,0
"Los Angeles, CA",-30.066369142236205,2.1830956651044117e-5,0.1225530412006826,0.9083716920226427,1,1,1
"Lubbock, TX",6.68178475934097,0.0036819324044942278,5.204122790816992,0.006497744664926611,0,0,0
"Madison, WI",-10.257136266303268,0.011957811104394674,4.697113600974719,0.00932835514790261,0,1,0
"Manchester, NH",-1.4489179098750795,0.002887537806971857,8.923261719003452,8.720521105385081e-4,0,0,0
"Mansfield, OH",21.818925459529673,-0.014796014970865223,-14.501068215578234,1.314941776167543e-4,1,0,0
"McAllen, TX",-0.9334691816141675,0.005508433991013567,18.852201727123266,4.66229865923802e-5,0,0,0
"Memphis, TN",-6.579286982141543,8.715902755645956e-4,1.1164115817017026,0.3267813244726691,1,1,1
"Miami, FL",-2.30638265928346,0.001270876297129657,1.1489781545002549,0.3145971821042581,1,1,1
"Midland, TX",-6.957541224997425,0.0048263558854513,10.852490508383955,4.0911181015024743e-4,0,1,0
"Milwaukee, WI",4.412029271603424,-3.667232424014499e-4,-0.587331324534057,0.5885343979980062,1,0,0
"Minneapolis, MN",-20.665327708611574,9.06703636846402e-4,1.5126623526238192,0.20491164156971042,1,1,1
"Missoula, MT",-0.10242314584734334,5.61613990345909e-4,0.2818633536975436,0.7920299705481977,1,0,0
"Mobile, AL",-8.851721266560558,-0.005199872714563998,-5.967289872384725,0.003961076773470832,1,1,1
"Modesto, CA",3.609264606597448,-2.0613592074182656e-4,-1.3039190280995792,0.26223642722625695,1,0,0
"Monroe, LA",5.969064588216096,0.003058303578794718,8.978161501151973,8.51746617639178e-4,0,0,0
"Montgomery, AL",-2.33835118918238,-0.006825054579224585,-7.359785839601968,0.0018156972967129116,1,1,1
"Morgantown, WV",-5.747214899643627,0.006921526660049197,3.778285427908943,0.019464600727991006,0,1,0
"Mount Vernon, WA",0.36550575017453857,0.013058638769073712,29.81210804419567,7.539279337382731e-6,0,0,0
"Muncie, IN",22.169640478343084,0.015738365922761257,7.991781400730143,0.0013290823693265525,0,0,0
"Muskegon, MI",-20.92172142740848,0.019650631127909525,11.980165490180843,2.7822215262171936e-4,0,1,0
"Myrtle Beach, SC",-0.07137168338914276,-0.0014270170822836279,-1.3987493763976198,0.23444699805045716,1,0,0
"Naples, FL",-2.3731011348395517,-0.016378626179395284,-1.578187243784986,0.1896624727187911,1,1,1
"Nashville, TN",-10.689012113949996,9.188441627039188e-4,0.8555992251841924,0.44044378252521954,1,1,1
"New Haven, CT",-5.750924381527295,0.002647317682659798,1.505150530559472,0.20673811051433208,1,1,1
"New Orleans, LA",-4.632514016999424,2.550452618678677e-4,0.4666299143266153,0.6650460268527463,1,1,1
"New York, NY",-24.0785262833559,-0.0010761529457938039,-1.3234020273495264,0.25627566931672613,1,1,1
