iso3,pce_real_usd,share,indicator
AFG,20058.63,0.000128817,C$
ALB,11014.63,7.07364E-05,C$
DZA,77789.11,0.000499565,C$
AGO,65709.09,0.000421987,C$
ANG,255.97,1.64385E-06,C$
ATG,1012.69,6.50354E-06,C$
ARG,428443.8,0.002751484,C$
ARM,10274.62,6.5984E-05,C$
ABW,1687.07,1.08344E-05,C$
ASE,1803121,0.011579719,C$
ASP,14878920,0.09555305,C$
AUS,798642.1,0.005128913,C$
AUT,213625.3,0.001371911,C$
AZE,34002.31,0.000218364,C$
BHR,17601.22,0.000113036,C$
BGD,245075.2,0.001573883,C$
BRB,3924.39,2.52026E-05,C$
BLR,35686.45,0.00022918,C$
BEL,256501.5,0.001647263,C$
BLZ,1552.53,9.97041E-06,C$
BEN,11643.86,7.47774E-05,C$
BOL,29520.98,0.000189585,C$
BIH,14847.01,9.53481E-05,C$
BWA,7731.89,4.96545E-05,C$
BRA,1222561,0.007851338,C$
BRN,4034.81,2.59117E-05,C$
BGR,40964.35,0.000263075,C$
BFA,11652.43,7.48324E-05,C$
BDI,3207.04,2.05957E-05,C$
KHM,17451.46,0.000112074,C$
CMR,29930.37,0.000192214,C$
CAN,1024877,0.006581803,C$
CPV,1208.43,7.76059E-06,C$
CYM,2848.17,1.82911E-05,C$
CAF,1817.16,1.16699E-05,C$
TCD,8700.32,5.58738E-05,C$
CHL,192738.1,0.001237772,C$
CHN,6210779,0.039885884,C$
COL,267131.8,0.001715532,C$
COM,1082.58,6.95237E-06,C$
ZAR,35005.63,0.000224808,C$
COG,3111.08,1.99795E-05,C$
CRI,43302.7,0.000278092,C$
CIV,41966.79,0.000269512,C$
HRV,36626.5,0.000235217,C$
CUB,49552.1,0.000318226,C$
CUR,1685.3,1.08231E-05,C$
CYP,16916.86,0.000108641,C$
CZE,97568.82,0.000626591,C$
DNK,161022.8,0.001034095,C$
DMA,409.34,2.6288E-06,C$
DOM,67119.45,0.000431044,C$
ECU,66896.51,0.000429612,C$
EGY,394756.7,0.002535144,C$
SLV,23315.33,0.000149732,C$
GNQ,6375.17,4.09416E-05,C$
EST,14897.87,9.56747E-05,C$
SWZ,3028.48,1.9449E-05,C$
ETH,73385.55,0.000471285,C$
A10,12203410,0.078370812,C$
EUZ,6823464,0.043820573,C$
FJI,3416.35,2.19399E-05,C$
FIN,136782.8,0.000878425,C$
FRA,1404493,0.009019713,C$
GAB,5600.3,3.59654E-05,C$
GMB,1508.61,9.68836E-06,C$
A18,706557.1,0.004537539,C$
GEO,16696.63,0.000107226,C$
DEU,1889867,0.012136805,C$
GHA,42253.24,0.000271352,C$
GRC,148827.8,0.000955778,C$
GRD,794.94,5.10514E-06,C$
GTM,67968.01,0.000436493,C$
GIN,8467.1,5.43761E-05,C$
GUY,7331.65,4.70842E-05,C$
HTI,14876.99,9.55407E-05,C$
HND,22108.59,0.000141982,C$
HKG,215345.6,0.001382958,C$
HUN,81917.37,0.000526077,C$
ISL,12023.64,7.72163E-05,C$
IND,1824196,0.011715063,C$
IDN,628079.8,0.004033555,C$
IRN,246356.5,0.001582112,C$
IRQ,94482.59,0.000606771,C$
IRL,124618.1,0.000800303,C$
ISR,210694.7,0.00135309,C$
ITA,1139092,0.007315297,C$
JAM,12554.59,8.06261E-05,C$
JPN,2427146,0.015587234,C$
JOR,35453.13,0.000227681,C$
KAZ,117027.4,0.000751555,C$
KEN,68060.3,0.000437086,C$
KWT,52836.13,0.000339316,C$
KYR,8449.86,5.42654E-05,C$
LAO,13578.97,8.72047E-05,C$
