MetroShort,old_city_name,state,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName.x,end.x,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState.x,price_level,cbd_lon,cbd_lat,cbsa_name,income_per_capita,population,MsaName.y,Metro,end.y,MetroState.y,us_income_per_capita,income_share,gdp_capita
"New York, NY",New York,NY,18929284,19335518,7054.35877027027,6593.158934749034,1023709,2871.0492477640437,2932.6637187665488,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York-Newark-Jersey City,NY-NJ-PA,0.35236636,0.4659619,0.41956478,0.53913975,NY,490789.05649927666,-73.980797,40.756699,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",43409,19294236,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York,NY-NJ-PA Metro Area,NY,34103,1.2728792188370524,82803.18619828166
"Los Angeles, CA",Los Angeles,CA,12940245,13369661,4814.182311969112,4506.860230888031,707772,2871.232817763744,2966.513340788837,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles-Long Beach-Anaheim,CA,0.33373454,0.44738179,0.39088523,0.50535589,CA,674239.6361434378,-118.253,34.049999,"Los Angeles-Long Beach-Anaheim, CA Metro Area",35916,13249614,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles,CA Metro Area,CA,34103,1.0531624783743365,68510.19916370993
"Chicago, IL",Chicago,IL,9658114,9701082,8746.601874131275,8595.591525868726,452192,1123.6124903019852,1128.6113318442674,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago-Naperville-Elgin,IL-IN-WI,0.33973619,0.44786832,0.39180052,0.49589816,IL,244942.05324958503,-87.626099,41.878201,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",38157,9508605,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Chicago,IL-IN-WI Metro Area,IL,34103,1.118875172272234,72784.9334416327
"Dallas, TX",Dallas,TX,6401545,7359183,9684.832208494208,9338.944444787645,292811,685.4677247355188,788.0101486316678,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth-Arlington,TX,0.34575835,0.46431294,0.39693448,0.51277018,TX,253427.9624680422,-96.798698,32.780399,"Dallas-Fort Worth-Arlington, TX Metro Area",35278,7320663,"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas,TX Metro Area,TX,34103,1.0344544468228603,67293.20654018708
"Houston, TX",Houston,TX,5971020,6939730,9343.713745173744,8964.50764092664,256058,666.073390661173,774.1339823636602,26420,"Houston-The Woodlands-Sugar Land, TX",Houston-The Woodlands-Sugar Land,TX,0.31743258,0.42440853,0.37326643,0.48016521,TX,221189.911728635,-95.363197,29.757401,"Houston-The Woodlands-Sugar Land, TX Metro Area",34400,6884138,"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston,TX Metro Area,TX,34103,1.0087089112394805,65618.41104888133
"Miami, FL",Miami,FL,5551913,6074919,2126.531698069498,1995.619615830116,367977,2782.0497232838516,3044.1267222526385,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Fort Lauderdale-West Palm Beach,FL,0.31448448,0.40740648,0.3670482,0.46962363,FL,337725.53227917146,-80.191803,25.7749,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",32522,6090660,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Miami,FL Metro Area,FL,34103,0.9536404421898367,62036.10360848019
"Philadelphia, PA",Philadelphia,PA,5941166,6051831,4427.958762548263,4284.173959073359,254333,1386.770485222089,1412.6016025056497,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,0.34188336,0.43942869,0.40106103,0.49999312,PA,250920.47475361952,-75.160103,39.950001,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",39091,6079130,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia,PA-NJ-DE-MD Metro Area,PA,34103,1.1462627921297246,74566.54960208779
"Atlanta, GA",Atlanta,GA,5430554,6009615,10367.38131158301,10192.647372972971,268859,532.7913152769088,589.6029539818296,12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta-Sandy Springs-Roswell,GA,0.35666603,0.49576303,0.40385821,0.53915775,GA,238978.65581588383,-84.389099,33.756199,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",35296,5862424,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",Atlanta,GA Metro Area,GA,34103,1.034982259625253,67327.5417552708
"Boston, MA",Boston,MA,4592369,4872213,3749.0872656370657,3521.3595389961392,228573,1304.1465800760525,1383.6170223586312,71650,"Boston-Cambridge-Nashua, MA-NH",Boston-Cambridge-Nashua,MA-NH,0.38872615,0.50142014,0.44353771,0.55328661,MA,496401.3644800437,-71.058701,42.3549,"Boston-Cambridge-Newton, MA-NH Metro Area",47604,4832346,"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,MA-NH Metro Area,MA,34103,1.3958889247280297,90805.19882473681
"San Francisco, CA",San Francisco,CA,4453606,4836168,2721.3615884169885,2598.56192007722,245648,1713.8733410930824,1861.0940007372565,41860,"San Francisco-Oakland-Hayward, CA",San Francisco-Oakland-Hayward,CA,0.39781314,0.53622544,0.44755739,0.5840202,CA,954527.8849215688,-122.408,37.785702,"San Francisco-Oakland-Berkeley, CA Metro Area",55252,4701332,"San Francisco-Oakland-Berkeley, CA Metro Area",San Francisco,CA Metro Area,CA,34103,1.6201507198780165,105393.85021141834
