zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,pp_growth
1001,NA,NA,013,25,16769,12.303181467181467,11.44226640926641,1465.5313379541476,44140,"Springfield, MA Metro Area","Springfield, MA",17312,735,0.39411180774102383,0.35341494495607395,786,1512.9869713556086,42.062332,-72.628274,-72.594101,42.103298,42.101324,-72.589272,42.101483,-72.589811,5363.549285891882,5405.9283549770935,5393.791851950476,NA
1002,NA,NA,011,25,29049,56.69367644787645,55.041066409266406,527.7695708873379,44140,"Springfield, MA Metro Area","Springfield, MA",30014,485,0.4347735771677064,0.43131239114768943,940,545.3019346832098,42.363977,-72.458507,-72.594101,42.103298,42.101324,-72.589272,42.101483,-72.589811,31096.35175612867,31161.68248220667,31160.47293111703,NA
1013,NA,NA,013,25,23188,6.293023938223938,5.624332818532818,4122.800116592121,44140,"Springfield, MA Metro Area","Springfield, MA",22733,1045,0.3591827708033058,0.3175477621066106,534,4041.901632330891,42.154904,-72.602804,-72.594101,42.103298,42.101324,-72.589272,42.101483,-72.589811,5789.511681267801,6068.226445818107,6042.77188103552,NA
1035,NA,NA,015,25,5250,24.606781853281852,23.08564749034749,227.4140243281076,44140,"Springfield, MA Metro Area","Springfield, MA",5319,27,0.4133459071878837,0.4015895054948833,478,230.40289436213413,42.356482,-72.568576,-72.594101,42.103298,42.101324,-72.589272,42.101483,-72.589811,28262.73389350115,28455.241083761277,28440.272799718692,NA
1060,NA,NA,015,25,15284,12.177092277992278,10.91775057915058,1399.9220708693936,44140,"Springfield, MA Metro Area","Springfield, MA",15948,532,0.411162199824663,0.39792054656395814,1315,1460.7404597111415,42.321488,-72.630588,-72.594101,42.103298,42.101324,-72.589272,42.101483,-72.589811,24474.392752226875,24744.156457507437,24720.541366241727,NA
1085,NA,NA,013,25,41117,61.089977992277994,59.94535405405406,685.9080348899747,44140,"Springfield, MA Metro Area","Springfield, MA",41780,185,0.3799967339299584,0.33702140450341245,1506,696.9681080259538,42.153503,-72.771602,-72.594101,42.103298,42.101324,-72.589272,42.101483,-72.589811,15683.91157332108,16135.06621814144,16087.160209124051,NA
1103,NA,NA,013,25,2479,0.539403861003861,0.4602274131274131,5386.467492569143,44140,"Springfield, MA Metro Area","Springfield, MA",2332,242,0.3453265388236932,0.31206552818364597,782,5067.060182602357,42.104106,-72.592027,-72.594101,42.103298,42.101324,-72.589272,42.101483,-72.589811,193.47414325858836,384.2972065575089,344.6115063732547,NA
1108,NA,NA,013,25,26688,3.880175675675676,3.7232640926640928,7167.904112035211,44140,"Springfield, MA Metro Area","Springfield, MA",27054,1299,0.35106110816284386,0.3140495359372109,400,7266.204955298284,42.080692,-72.560791,-72.594101,42.103298,42.101324,-72.589272,42.101483,-72.589811,3728.832895118818,3287.934785822949,3332.2090697250387,NA
1201,NA,NA,003,25,46504,55.525465250965254,52.91815328185328,878.7910597013819,38340,"Pittsfield, MA Metro Area","Pittsfield, MA",44458,304,0.3722000193606325,0.3360589677541661,2358,840.1275789653371,42.448236,-73.273727,-73.252602,42.451801,42.449659,-73.251866,42.450084,-73.245382,1779.9883087444182,1802.6429959730376,2337.3300429552373,NA
1420,NA,NA,027,25,40337,31.003525482625484,30.316701158301157,1330.5207512313766,49340,"Worcester, MA-CT Metro Area","Worcester, MA",40702,34,0.3714893029274795,0.3239726846849565,1324,1342.5603197218309,42.584925,-71.816862,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,35773.142460058734,35917.37432332459,35901.80014445975,NA
