zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,pp_growth
1701,NA,NA,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.473069644432326,0.43178328969265384,2258,1921.722109403978,42.320169,-71.440409,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,31646.35261757575,31783.706269490005,31608.494744353076,NA
1702,NA,NA,017,25,37206,8.853264092664093,8.09170193050193,4598.043813224359,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39799,780,0.43755220562360425,0.3912978661803779,1691,4918.495557773376,42.282576,-71.43676,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,32142.960393694404,32339.31623097188,32157.670886813143,NA
1720,NA,NA,017,25,21361,20.143181853281853,19.71313320463321,1083.5923330026246,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",22791,304,0.5224370272459451,0.48143543418891727,1306,1156.132805648744,42.483953,-71.438495,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,34358.62029565779,34231.581723726056,34114.948609324056,NA
1721,NA,NA,017,25,16593,12.868427027027026,12.329492277992278,1345.79750940904,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17710,24,0.4710792702402696,0.42687671349877376,693,1436.3932918480143,42.257755,-71.473526,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,35822.557799277405,36041.77230878546,35858.41871257994,NA
1730,NA,NA,017,25,13221,13.87601003861004,13.69808725868726,965.1712498484274,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14070,52,0.5058734993989608,0.4637420308552543,905,1027.1507061014577,42.499331,-71.281905,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,24390.005865718,24136.71196188573,24065.439223983743,NA
1742,NA,NA,017,25,17726,25.745458687258687,24.438667953667952,725.3259479447013,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19121,104,0.5152672869789822,0.4767179297366091,1470,782.4076187888205,42.462911,-71.364496,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,27862.05594769159,27729.044693660857,27614.121111455388,NA
1748,NA,NA,017,25,14925,27.888745945945946,26.2613111969112,568.3265351105335,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17598,30,0.48588025480175223,0.4396035357374218,787,670.1112472278171,42.224104,-71.540484,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,42261.6644750918,42499.45322693689,42315.05846275043,NA
1749,NA,NA,017,25,19063,11.86549111969112,11.5217555984556,1654.522163493491,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19887,23,0.4394591733679706,0.39078450910668194,904,1726.0390424064972,42.389071,-71.545864,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40244.96835499293,40278.37429947995,40120.757136732944,NA
1752,NA,NA,017,25,38499,22.10125057915058,20.86536718146718,1845.1149057273808,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39736,24,0.44190825537981543,0.3940056084353271,2785,1904.399747889119,42.349617,-71.547214,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40192.74152954493,40278.47907357181,40111.1245178992,NA
1754,NA,NA,017,25,10106,5.370381853281853,5.213210038610039,1938.5368947640736,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10754,29,0.4760759088362965,0.4386659992946707,410,2062.836509627236,42.425955,-71.456256,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,33629.20019301081,33594.51139555211,33452.142505613505,NA
